ACRONYM,SCIENTIFIC,COMMON
ACCA,Acer campestre,Hedge maple
ACJA,Acer japonicum,Amur maple
ACNE,Acer negundo,Ash-leaf maple
ACPA,Acer palmatum,Japanese maple
ACPE,Acer pensylvanicum,Striped maple
ACPL,Acer platanoides,Norway maple
ACRU,Acer rubrum,Red maple
ACSA2,Acer saccharinum,Silver maple
ACSA3,Acer saccharum,Sugar maple
AEHI,Aesculus hippocastanum,Horse-chestnut
AIAL,Ailanthus altissima,Tree of heaven
ALJU,Albizia julibrissin,Silk tree
AMAR,Amelanchier arborea,Common serviceberry
AMCA4,Amelanchier canadensis,Canadian serviceberry
ARME6,Aronia melanocarpa,Black chokeberry
BELE,Betula lenta,Sweet birch
BENI,Betula nigra,River birch
BEPA,Betula papyrifera,Paper birch
BRPA,Broussonetia papyrifera,Paper mulberry
CACA,Carpinus caroliniana,American hornbeam
CACO,Carya cordiformis,Bitternut hickory
CADE,Castanea dentata,American chestnut
CAGL,Carya glabra,Pignut hickory
CAMO,Castanea mollissima,Chinese chestnut
CAOV,Carya ovata,Shagbark hickory
CAPU,Castanea pumila,Chinquapin
CASP,Catalpa speciosa,Northern catalpa
CATO,Carya tomentosa,Mockernut hickory
CECA,Cercis canadensis,Eastern redbud
CEDE,Cedrus deodara,Himalayan cedar
CELA,Celtis laevigata,Sugarberry
CEOC,Celtis occidentalis,Common hackberry
CHTH,Chamaecyparis thyoides,Atlantic white cedar
CHVI,Chionanthus virginicus,White fringe tree
CLAL3,Clethra alnifolia,Coastal sweetpepperbush
CLKE,Cladastris kentukea,Yellowwood
COFL,Cornus florida,Flowering dogwood
COKO,Cornus kousa,Japanese flowering dogwood
CULE,Cupressus x leylandii,Leyland cypress
DIVI,Diospyros virginiana,Common persimmon
FAGR,Fagus grandifolia,American beech
FRAM,Fraxinus americana,White ash
FRPE,Fraxinus pennsylvanica,Green ash
GIBI,Ginkgo biloba,Maidenhair tree
GLTR,Gleditsia triacanthos,Honey locust
HAVI4,Hamamelis virginiana,American witchhazel
ILOP,Ilex opaca,American holly
ILVE,Ilex verticillata,Common winterberry
ITVI,Itea virginica,Virginia sweetspire
JUCI,Juglans cinerea,Butternut
JUNI,Juglans nigra,Black walnut
JUVI,Juniperus virginiana,Eastern red cedar
KOPA,Koelreuteria paniculata,Goldenrain tree
LIBE3,Lindera benzion,Northern spicebush
LIST,Liquidambar styraciflua,Sweetgum
LITU,Liriodendron tulipifera,Tuliptree
MAAN,Malus angustifolia,Southern crab apple
MAVI,Magnolia virginiana,Sweetbay magnolia
MEGL,Metasequoia glyptostroboides,Dawn redwood
MOAL,Morus alba,White mulberry
MORU,Morus rubra,Red mulberry
NYSY,Nyssa sylvatica,Black gum
OSVI,Ostrya virginiana,Eastern hophornbeam
OXAR,Oxydendron arboreum,Sourwood
PATO,Paulownia tomentosa,Princess tree
PHAM,Phellodendron amurense,Amur corktree
PIAB,Picea abies,Norway spruce
PIEC,Pinus echinata,Shortleaf pine
PIPA,Pinus palustris,Longleaf pine
PIPU,Picea pungens,Blue spruce
PIRI,Pinus rigida,Pitch pine
PIST,Pinus strobus,Eastern white pine
PITA,Pinus taeda,Loblolly pine
PIVI,Pinus virginiana,Virginia pine
PLOC,Platanus occidentalis,American sycamore
PODE,Populus deltoides,Eastern cottonwood
POGR,Populus grandidentata,Big-tooth aspen
POHE,Populus hederophylla,Swamp cottonwood
PRAV,Prunus avium,Sweet cherry
PRSE2,Prunus serotina,Black cherry
PRSE3,Prunus serrulata,Japanese cherry
PYCA,Pyrus calleryana,Callery pear
QUAC,Quercus acutissima,Sawtooth oak
QUAL,Quercus alba,White oak
QUBI,Quercus bicolor,Swamp white oak
QUCO,Quercus coccinea,Scarlet oak
QUFA,Quercus falcata,Southern red oak
QUIM,Quercus imbricaria,Shingle oak
QULY,Quercus lyrata,Overcup oak
QUMA2,Quercus macrocarpa,Bur oak
QUMA3,Quercus marilandica,Blackjack oak
QUMI,Quercus michauxii,Swamp chestnut oak
QUMO,Quercus montana,Chestnut oak
QUMU,Quercus muehlenbergii,Chinkapin oak
QUNI,Quercus nigra,Water oak
QUPA2,Quercus palustris,Pin oak
QUPA5,Quercus pagoda,Cherrybark oak
QUPH,Quercus phellos,Willow oak
QURU,Quercus rubra,Northern red oak
QUST,Quercus stellata,Post oak
QUVE,Quercus velutina,Black oak
ROPS,Robinia pseudoacacia,Black locust
SAAL,Sassafras albidum,White sassafras
SABA,Salix babylonica,Weeping willow
SANI,Salix nigra,Black willow
SASE,Salix sericea,Silky willow
STJA,Styphnolobium japonicum,Japanese pagoda tree
TADI,Taxodium distichum,Bald cypress
TIAM,Tilia americana,American basswood
TICO,Tilia cordata,Littleleaf linden
TSCA,Tsuga canadensis,Eastern hemlock
ULAL,Ulmus alata,Winged elm
ULAM,Ulmus americana,American elm
ULPA,Ulmus parvifolia,Chinese elm
ULPU,Ulmus pumila,Siberian elm
ULRU,Ulmus rubra,Slippery elm
VACO,Vaccinium corymbosum,Highbush blueberry
VIDE,Viburnum dentatum,Southern arrowwood
VIPR,Viburnum prunifolium,Blackhaw
ZESE,Zelkova serrata,Japanese zelkova
